,国内生产总值 [AGGREGATE(Sum; 每年; 十二月)]
国家或地区,约旦
频率,"Annual, ending ""Dec"" of each year"
单位,百万约旦第纳尔
数据来源,دائرة الإحصاءات العامة
状态,继续
数列码,125510608.000
函数信息,AGGREGATE(Sum; 每年; 十二月)
首次观测日期,1992
最后观测日期,2015
最后更新时间,2016
平均,11411.563
方差,58672693.644
标准差,7659.810
偏度,0.825
峰度,-0.827
变异系数,0.671
最小,3610.640
最大,26637.361
中位数,7659.700
观测次数,24.000
1992,3610.640
1993,3884.290
1994,4358.310
1995,4714.590
1996,4912.210
1997,5137.500
1998,5609.840
1999,5778.130
2000,5998.550
2001,6363.760
2002,6793.960
2003,7228.724
2004,8090.676
2005,8953.738
2006,10675.368
2007,12131.422
2008,15593.411
2009,16912.209
2010,18762.019
2011,20476.587
2012,21965.467
2013,23851.629
2014,25437.117
2015,26637.361